scenario,t0,iou_step6,fnr_step6
sim_1500kw_1m2_T03,90.0,0.8282485875701535,0.07449494949490247
sim_1500kw_1m2_T03,120.0,0.7893388006146647,0.07894736842100541
sim_1500kw_1m2_T03,150.0,0.7945007235886182,0.07315700619016705
sim_1500kw_1m2_T03,180.0,0.7745958429557623,0.0785714285713854
sim_1500kw_1m2_T03,210.0,0.7808656036442911,0.08635394456285375
sim_1500kw_2m2_T05,60.0,0.7596875938718054,0.23687386843686276
sim_1500kw_2m2_T05,90.0,0.8237170194256818,0.17147856517930257
sim_1500kw_2m2_T05,120.0,0.8499423963131193,0.14538082826523446
sim_1500kw_2m2_T05,150.0,0.8646101113964968,0.12942191544431136
sim_1500kw_2m2_T05,180.0,0.8716350240858964,0.12189551812728465
sim_1500kw_2m2_T05,210.0,0.8760912419034423,0.11417995444188093
sim_500kw_1m2_T01,60.0,0.6399286987510875,0.2279569892468216
sim_500kw_1m2_T01,90.0,0.6582840236676653,0.10642570281103128
sim_500kw_1m2_T01,120.0,0.5489067894124868,0.018518518518480416
sim_500kw_1m2_T01,150.0,0.5778508771923488,0.018621973929201823
sim_500kw_1m2_T01,180.0,0.538060479665758,0.024574669187099104
sim_500kw_1m2_T01,210.0,0.4984802431605892,0.02186878727629847
sim_500kw_1m2_T02,60.0,0.6423357664225763,0.13442622950797636
sim_500kw_1m2_T02,90.0,0.6219864995172402,0.10041841004170095
sim_500kw_1m2_T02,120.0,0.6142735768898774,0.06347150259059135
sim_500kw_1m2_T02,150.0,0.6042944785271439,0.05060240963849325
sim_500kw_1m2_T02,180.0,0.6045994065277414,0.05342624854813772
sim_500kw_1m2_T02,210.0,0.6235465116274538,0.060240963855355704
sim_500kw_1m2_T03,60.0,0.4599236641212597,0.5111561866115393
sim_500kw_1m2_T03,90.0,0.5533661740549206,0.37476808905310804
sim_500kw_1m2_T03,120.0,0.6242690058470406,0.26379310344782103
sim_500kw_1m2_T03,150.0,0.5924050632903893,0.20543293718131506
sim_500kw_1m2_T03,180.0,0.5622119815661726,0.22662440570487064
sim_500kw_1m2_T03,210.0,0.5808988764038417,0.21189024390211603
sim_500kw_1m2_T04,60.0,0.6404011461308877,0.22530329289389028
sim_500kw_1m2_T04,90.0,0.6569264069256959,0.11516034985405954
sim_500kw_1m2_T04,120.0,0.6833013435694019,0.08951406649604922
sim_500kw_1m2_T04,150.0,0.6571164510160286,0.06692913385817989
sim_500kw_1m2_T04,180.0,0.6517775752045107,0.06413612565436631
sim_500kw_1m2_T04,210.0,0.6271036315317741,0.07329842931927578
sim_500kw_2m2_T02,60.0,0.718992248061551,0.18936635105594365
sim_500kw_2m2_T02,90.0,0.7542713567835406,0.06128830519070589
sim_500kw_2m2_T02,120.0,0.7522935779813062,0.05037637521711038
sim_500kw_2m2_T02,150.0,0.7509986684417439,0.03918228279384487
sim_500kw_2m2_T02,180.0,0.751429828420259,0.040988208871397536
sim_500kw_2m2_T02,210.0,0.742146596858315,0.043844856661020885
sim_500kw_2m2_T05,60.0,0.6166489925765554,0.36724700761677515
sim_500kw_2m2_T05,90.0,0.7508369201335482,0.2250740375122285
sim_500kw_2m2_T05,120.0,0.7655759748988052,0.21181356714341865
sim_500kw_2m2_T05,150.0,0.7653536637014972,0.21673168617242447
sim_500kw_2m2_T05,180.0,0.7766179540706569,0.19654427645779848
sim_500kw_2m2_T05,210.0,0.7823157894733548,0.1879370629369808
